Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,,,,,,,,
100,0.01,20,20,3,87.67,82.28609798,88.41,80.24848563,79.39063115,81.13125628,78.03476702,59.46252036,,,,,,,,
100,0.1,20,20,3,89.535,83.22330407,89.685,81.83473423,81.12316847,82.56894472,79.80154783,56.25528004,,,,,,,,
100,1,20,20,3,88.665,83.01241353,89.06,80.87265824,79.90604508,81.88552764,78.71996026,57.13690682,,,,,,,,
100,10,20,20,3,91.045,84.25696381,91.045,83.29324469,82.66944469,83.92753769,81.43043993,52.74395748,,,,,,,,
100,100,20,20,3,90.4,83.40488351,90.4,82.12843804,81.34374425,82.92899497,80.13126523,55.68931984,,,,,,,,
100,1000,20,20,3,90.115,83.1664521,90.115,81.69540194,80.86594441,82.54281407,79.64846109,56.51535374,,,,,,,,
100,10000,20,20,3,89.85,82.83962196,89.85,81.3583704,80.61023132,82.12201005,79.27647131,57.54335724,,,,,,,,
100,100000,20,20,3,89.995,82.95375453,89.995,81.58324431,80.85042856,82.33105528,79.52679466,57.15479837,,,,,,,,
1000,1.00E-05,20,20,3,89.31,83.05121101,89.7,81.74958107,81.00653571,82.51467337,79.70755734,56.8438184,,,,,,,,
1000,0.0001,20,20,3,89.295,83.05880595,89.685,81.72967574,80.98080554,82.50075377,79.6852813,56.82264578,,,,,,,,
1000,0.001,20,20,3,88.115,82.58538587,88.86,80.94217416,80.0852369,81.82758794,78.80528443,58.46816653,,,,,,,,
1000,0.01,20,20,3,89.87,82.97773356,89.87,81.88531828,81.22723139,82.55743719,79.86260434,57.02510973,,,,,,,,
1000,0.1,20,20,3,87.765,82.33534473,88.54,80.39696239,79.35865716,81.48552764,78.19133379,59.45369881,,,,,,,,
1000,1,20,20,3,89.35,83.18127927,89.5,81.55971833,80.80309838,82.33221106,79.49842027,56.41374491,,,,,,,,
1000,10,20,20,3,90.4,83.63158386,90.4,82.3743159,81.65824942,83.10462312,80.40602974,54.89469064,,,,,,,,
1000,100,20,20,3,88.625,82.52634275,88.945,80.584208,79.48889476,81.73532663,78.39516551,58.84013285,,,,,,,,
1000,1000,20,20,3,88.32,82.3466492,88.71,80.18260416,78.67303305,81.83934673,77.93112357,59.75191488,,,,,,,,
1000,10000,20,20,3,87.805,81.76866699,88.13,79.32220198,77.96172965,80.77703518,76.97702305,61.5469548,,,,,,,,
1000,100000,20,20,3,87.775,81.76441272,88.1,79.29489139,77.92304366,80.76140704,76.9463333,61.57122949,,,,,,,,
10000,1.00E-05,20,20,3,88.205,81.66782299,88.34,79.69536646,78.77069202,80.6580402,77.41653938,61.56574533,,,,,,,,
10000,0.0001,20,20,3,88.185,81.61296225,88.32,79.65091647,78.72712972,80.61266332,77.36713851,61.74747842,,,,,,,,
10000,0.001,20,20,3,88.39,81.93963431,88.765,80.19589042,79.19965047,81.23572864,77.97006572,60.73155144,,,,,,,,
10000,0.01,20,20,3,89.2,82.65701717,89.595,81.43283071,80.66427847,82.22557789,79.35528877,58.18976211,,,,,,,,
10000,0.1,20,20,3,87.98,82.22426875,88.625,80.56806746,79.64350551,81.52507538,78.38740646,59.73096772,,,,,,,,
10000,1,20,20,3,88.56,82.52469209,88.71,80.68216695,79.80531872,81.5858794,78.51753249,58.68645275,,,,,,,,
10000,10,20,20,3,88.655,82.43020956,88.805,80.7881905,79.90552911,81.70668342,78.63383942,58.99847956,,,,,,,,
10000,100,20,20,3,89.93,82.92029507,89.93,81.62220501,80.8598495,82.40130653,79.56870744,57.28652927,,,,,,,,
10000,1000,20,20,3,88.555,81.99382618,88.655,80.1499329,79.08842158,81.25678392,77.9168891,60.59022743,,,,,,,,
10000,10000,20,20,3,87.74,81.32660917,87.79,79.16395887,78.01036143,80.37854271,76.81418655,62.85965386,,,,,,,,
10000,100000,20,20,3,89.045,82.2984144,89.125,80.73375054,79.76536964,81.74507538,78.56863039,59.50032191,,,,,,,,
100000,1.00E-05,20,20,3,88.03,81.41591703,88.15,79.87114615,79.21355663,80.54160804,77.62382755,62.21900639,,,,,,,,
100000,0.0001,20,20,3,87.975,81.41879598,88.095,79.84588568,79.16549429,80.53994975,77.59490979,62.22580919,,,,,,,,
100000,0.001,20,20,3,88.035,81.43338052,88.15,79.92367228,79.25518362,80.60532663,77.68195772,62.1687298,,,,,,,,
100000,0.01,20,20,3,88.325,82.16773361,88.715,80.79213828,79.85861254,81.78361809,78.63704123,59.92637987,,,,,,,,
